level,SP,MaxSPClass0,MaxSPClass1,MaxSPClass2
1,0,0,0,0
2,3,3,0,0
3,6,6,0,0
4,9,9,0,0
5,12,12,0,0
6,15,15,0,0
7,18,18,0,0
8,21,21,0,0
9,24,24,0,0
10,27,27,0,0
11,30,30,0,0
12,33,33,0,0
13,36,36,0,0
14,39,39,0,0
15,42,26,27,0
16,45,28,29,0
17,48,30,30,0
18,51,31,32,0
19,54,33,34,0
20,57,35,36,0
21,60,37,38,0
22,63,39,40,0
23,66,41,42,0
24,69,43,44,0
25,72,45,46,0
26,75,46,48,0
27,78,48,50,0
28,81,50,52,0
29,84,52,54,0
30,87,54,56,0
31,90,56,58,0
32,93,58,59,0
33,96,60,61,0
34,99,61,63,0
35,102,63,65,0
36,105,65,67,0
37,108,67,69,0
38,111,69,71,0
39,114,71,73,0
40,117,73,75,0
41,120,75,77,0
42,123,76,79,0
43,126,78,81,0
44,129,80,83,0
45,132,82,85,82
46,135,84,87,84
47,138,86,89,86
48,141,88,90,88
49,144,90,92,90
50,147,91,94,91
51,149,93,96,93
52,151,94,97,94
53,153,95,98,95
54,155,96,99,96
55,157,98,101,98
56,159,99,102,99
57,161,100,103,100
58,163,101,105,101
59,165,103,106,103
60,167,104,107,104
61,169,105,109,105
62,171,106,110,106
63,173,108,111,108
64,175,109,112,109
65,177,110,114,110
66,179,111,115,111
67,181,113,116,113
68,183,114,118,114
69,185,115,119,115
70,187,116,120,116
71,189,118,121,118
72,191,119,123,119
73,193,120,124,120
74,195,121,125,121
75,197,123,127,123
76,199,124,128,124
77,201,125,129,125
78,203,126,130,126
79,205,128,132,128
80,207,129,133,129
81,209,130,134,130
82,211,131,136,131
83,213,133,137,133
84,215,134,138,134
85,217,135,139,135
86,219,136,141,136
87,221,138,142,138
88,223,139,143,139
89,225,140,145,140
90,227,141,146,141
91,229,0,0,0
92,231,0,0,0
93,233,0,0,0
94,235,0,0,0
95,237,0,0,0
96,239,0,0,0
97,241,0,0,0
98,243,0,0,0
99,245,0,0,0
100,247,0,0,0
101,247,0,0,0
102,250,0,0,0
103,253,0,0,0
104,256,0,0,0
105,259,0,0,0
106,262,0,0,0
107,265,0,0,0
108,268,0,0,0
109,271,0,0,0
110,274,0,0,0
111,277,0,0,0
112,280,0,0,0
113,283,0,0,0
114,286,0,0,0
115,289,0,0,0
116,292,0,0,0
117,295,0,0,0
118,298,0,0,0
119,301,0,0,0
120,304,0,0,0
121,307,0,0,0
122,310,0,0,0
123,313,0,0,0
124,316,0,0,0
125,319,0,0,0
126,322,0,0,0
127,325,0,0,0
128,328,0,0,0
129,331,0,0,0
130,334,0,0,0
131,337,0,0,0
132,340,0,0,0
133,343,0,0,0
134,346,0,0,0
135,349,0,0,0
136,352,0,0,0
137,355,0,0,0
138,358,0,0,0
139,361,0,0,0
140,364,0,0,0
141,367,0,0,0
142,370,0,0,0
143,373,0,0,0
144,376,0,0,0
145,379,0,0,0
146,382,0,0,0
147,385,0,0,0
148,388,0,0,0
149,391,0,0,0
150,394,0,0,0
151,396,0,0,0
152,398,0,0,0
153,400,0,0,0
154,402,0,0,0
155,404,0,0,0
156,406,0,0,0
157,408,0,0,0
158,410,0,0,0
159,412,0,0,0
160,414,0,0,0
161,416,0,0,0
162,418,0,0,0
163,420,0,0,0
164,422,0,0,0
165,424,0,0,0
166,426,0,0,0
167,428,0,0,0
168,430,0,0,0
169,432,0,0,0
170,434,0,0,0
171,436,0,0,0
172,438,0,0,0
173,440,0,0,0
174,442,0,0,0
175,444,0,0,0
176,446,0,0,0
177,448,0,0,0
178,450,0,0,0
179,452,0,0,0
180,454,0,0,0
181,456,0,0,0
182,458,0,0,0
183,460,0,0,0
184,462,0,0,0
185,464,0,0,0
186,466,0,0,0
187,468,0,0,0
188,470,0,0,0
189,472,0,0,0
190,474,0,0,0
191,476,0,0,0
192,478,0,0,0
193,480,0,0,0
194,482,0,0,0
195,484,0,0,0
196,486,0,0,0
197,488,0,0,0
198,490,0,0,0
199,492,0,0,0
200,494,0,0,0
201,494,0,0,0
202,497,0,0,0
203,500,0,0,0
204,503,0,0,0
205,506,0,0,0
206,509,0,0,0
207,512,0,0,0
208,515,0,0,0
209,518,0,0,0
210,521,0,0,0
211,524,0,0,0
212,527,0,0,0
213,530,0,0,0
214,533,0,0,0
215,536,0,0,0
216,539,0,0,0
217,542,0,0,0
218,545,0,0,0
219,548,0,0,0
220,551,0,0,0
221,554,0,0,0
222,557,0,0,0
223,560,0,0,0
224,563,0,0,0
225,566,0,0,0
226,569,0,0,0
227,572,0,0,0
228,575,0,0,0
229,578,0,0,0
230,581,0,0,0
231,584,0,0,0
232,587,0,0,0
233,590,0,0,0
234,593,0,0,0
235,596,0,0,0
236,599,0,0,0
237,602,0,0,0
238,605,0,0,0
239,608,0,0,0
240,611,0,0,0
241,614,0,0,0
242,617,0,0,0
243,620,0,0,0
244,623,0,0,0
245,626,0,0,0
246,629,0,0,0
247,632,0,0,0
248,635,0,0,0
249,638,0,0,0
250,641,0,0,0
251,643,0,0,0
252,645,0,0,0
253,647,0,0,0
254,649,0,0,0
255,651,0,0,0
256,653,0,0,0
257,655,0,0,0
258,657,0,0,0
259,659,0,0,0
260,661,0,0,0
261,663,0,0,0
262,665,0,0,0
263,667,0,0,0
264,669,0,0,0
265,671,0,0,0
266,673,0,0,0
267,675,0,0,0
268,677,0,0,0
269,679,0,0,0
270,681,0,0,0
271,683,0,0,0
272,685,0,0,0
273,687,0,0,0
274,689,0,0,0
275,691,0,0,0
276,693,0,0,0
277,695,0,0,0
278,697,0,0,0
279,699,0,0,0
280,701,0,0,0
281,703,0,0,0
282,705,0,0,0
283,707,0,0,0
284,709,0,0,0
285,711,0,0,0
286,713,0,0,0
287,715,0,0,0
288,717,0,0,0
289,719,0,0,0
290,721,0,0,0
291,723,0,0,0
292,725,0,0,0
293,727,0,0,0
294,729,0,0,0
295,731,0,0,0
296,733,0,0,0
297,735,0,0,0
298,737,0,0,0
299,739,0,0,0
300,741,0,0,0
301,741,0,0,0
302,744,0,0,0
303,747,0,0,0
304,750,0,0,0
305,753,0,0,0
306,756,0,0,0
307,759,0,0,0
308,762,0,0,0
309,765,0,0,0
310,768,0,0,0
311,771,0,0,0
312,774,0,0,0
313,777,0,0,0
314,780,0,0,0
315,783,0,0,0
316,786,0,0,0
317,789,0,0,0
318,792,0,0,0
319,795,0,0,0
320,798,0,0,0
321,801,0,0,0
322,804,0,0,0
323,807,0,0,0
324,810,0,0,0
325,813,0,0,0
326,816,0,0,0
327,819,0,0,0
328,822,0,0,0
329,825,0,0,0
330,828,0,0,0
331,831,0,0,0
332,834,0,0,0
333,837,0,0,0
334,840,0,0,0
335,843,0,0,0
336,846,0,0,0
337,849,0,0,0
338,852,0,0,0
339,855,0,0,0
340,858,0,0,0
341,861,0,0,0
342,864,0,0,0
343,867,0,0,0
344,870,0,0,0
345,873,0,0,0
346,876,0,0,0
347,879,0,0,0
348,882,0,0,0
349,885,0,0,0
350,888,0,0,0
351,890,0,0,0
352,892,0,0,0
353,894,0,0,0
354,896,0,0,0
355,898,0,0,0
356,900,0,0,0
357,902,0,0,0
358,904,0,0,0
359,906,0,0,0
360,908,0,0,0
361,910,0,0,0
362,912,0,0,0
363,914,0,0,0
364,916,0,0,0
365,918,0,0,0
366,920,0,0,0
367,922,0,0,0
368,924,0,0,0
369,926,0,0,0
370,928,0,0,0
371,930,0,0,0
372,932,0,0,0
373,934,0,0,0
374,936,0,0,0
375,938,0,0,0
376,940,0,0,0
377,942,0,0,0
378,944,0,0,0
379,946,0,0,0
380,948,0,0,0
381,950,0,0,0
382,952,0,0,0
383,954,0,0,0
384,956,0,0,0
385,958,0,0,0
386,960,0,0,0
387,962,0,0,0
388,964,0,0,0
389,966,0,0,0
390,968,0,0,0
391,970,0,0,0
392,972,0,0,0
393,974,0,0,0
394,976,0,0,0
395,978,0,0,0
396,980,0,0,0
397,982,0,0,0
398,984,0,0,0
399,986,0,0,0
400,988,0,0,0
401,988,0,0,0
402,991,0,0,0
403,994,0,0,0
404,997,0,0,0
405,1000,0,0,0
406,1003,0,0,0
407,1006,0,0,0
408,1009,0,0,0
409,1012,0,0,0
410,1015,0,0,0
411,1018,0,0,0
412,1021,0,0,0
413,1024,0,0,0
414,1027,0,0,0
415,1030,0,0,0
416,1033,0,0,0
417,1036,0,0,0
418,1039,0,0,0
419,1042,0,0,0
420,1045,0,0,0
421,1048,0,0,0
422,1051,0,0,0
423,1054,0,0,0
424,1057,0,0,0
425,1060,0,0,0
426,1063,0,0,0
427,1066,0,0,0
428,1069,0,0,0
429,1072,0,0,0
430,1075,0,0,0
431,1078,0,0,0
432,1081,0,0,0
433,1084,0,0,0
434,1087,0,0,0
435,1090,0,0,0
436,1093,0,0,0
437,1096,0,0,0
438,1099,0,0,0
439,1102,0,0,0
440,1105,0,0,0
441,1108,0,0,0
442,1111,0,0,0
443,1114,0,0,0
444,1117,0,0,0
445,1120,0,0,0
446,1123,0,0,0
447,1126,0,0,0
448,1129,0,0,0
449,1132,0,0,0
450,1135,0,0,0
451,1137,0,0,0
452,1139,0,0,0
453,1141,0,0,0
454,1143,0,0,0
455,1145,0,0,0
456,1147,0,0,0
457,1149,0,0,0
458,1151,0,0,0
459,1153,0,0,0
460,1155,0,0,0
461,1157,0,0,0
462,1159,0,0,0
463,1161,0,0,0
464,1163,0,0,0
465,1165,0,0,0
466,1167,0,0,0
467,1169,0,0,0
468,1171,0,0,0
469,1173,0,0,0
470,1175,0,0,0
471,1177,0,0,0
472,1179,0,0,0
473,1181,0,0,0
474,1183,0,0,0
475,1185,0,0,0
476,1187,0,0,0
477,1189,0,0,0
478,1191,0,0,0
479,1193,0,0,0
480,1195,0,0,0
481,1197,0,0,0
482,1199,0,0,0
483,1201,0,0,0
484,1203,0,0,0
485,1205,0,0,0
486,1207,0,0,0
487,1209,0,0,0
488,1211,0,0,0
489,1213,0,0,0
490,1215,0,0,0
491,1217,0,0,0
492,1219,0,0,0
493,1221,0,0,0
494,1223,0,0,0
495,1225,0,0,0
496,1227,0,0,0
497,1229,0,0,0
