MID,SkillIndex,StartSuperArmor,SkillName,SkillNeedClass,SkillTreeSlotIndex,SkillLevel,FeeMP,RequireWeapon1,RequireWeapon2,weapon 1,weapon 2,SkillType,DurationType,TargetType,SkillTypeInfo,SkillCooldown,SkillMaxLevel,RequireCharLevel,RequiredSkill_1,RequiredSkill_1_name,RequiredSkill_1_lvl,RequiredSkill_2,RequiredSkill_2_name,RequiredSkill_2_lvl,RequiredSkill_3,RequiredSkill_3_name,RequiredSkill_3_lvl,class0,class1,class2,RequireClass0SP,RequireClass1SP,RequireClass2SP,RequireSP,ChangeSkillIndex,SkillExplanationID,SkillExplanationAll,SkillExplanation,SkillExplanationPara,SPMaxLevel,IconImageIndex,Element
1000075693,7305,0.0,Mechanic Cannon,ENGINEER,,1,100.0,16,-1,Cannon,,0,0,1,Instant,12.0,30,26,,,,,,,,,,TINKERER,ENGINEER,,,,,0,,1000094853,Shoots an explosive cannonball.\n#yDamage: 117%,Shoots an explosive cannonball.\n#yDamage: {5}%,117,2,1416,None
1000075693,7305,0.0,Mechanic Cannon,ENGINEER,,2,100.0,16,-1,Cannon,,0,0,1,Instant,12.0,30,29,,,,,,,,,,TINKERER,ENGINEER,,,,,0,,1000094853,Shoots an explosive cannonball.\n#yDamage: 117%,Shoots an explosive cannonball.\n#yDamage: {5}%,117,2,1416,None
1000075693,7305,0.0,Mechanic Cannon,ENGINEER,,3,100.0,16,-1,Cannon,,0,0,1,Instant,12.0,30,32,,,,,,,,,,TINKERER,ENGINEER,,,,,0,,1000094853,Shoots an explosive cannonball.\n#yDamage: 117%,Shoots an explosive cannonball.\n#yDamage: {5}%,117,2,1416,None
1000075693,7305,0.0,Mechanic Cannon,ENGINEER,,4,100.0,16,-1,Cannon,,0,0,1,Instant,12.0,30,35,,,,,,,,,,TINKERER,ENGINEER,,,,,0,,1000094853,Shoots an explosive cannonball.\n#yDamage: 119%,Shoots an explosive cannonball.\n#yDamage: {5}%,119,2,1416,None
1000075693,7305,0.0,Mechanic Cannon,ENGINEER,,5,100.0,16,-1,Cannon,,0,0,1,Instant,12.0,30,38,,,,,,,,,,TINKERER,ENGINEER,,,,,0,,1000094853,Shoots an explosive cannonball.\n#yDamage: 120%,Shoots an explosive cannonball.\n#yDamage: {5}%,120,2,1416,None
1000075693,7305,0.0,Mechanic Cannon,ENGINEER,,6,100.0,16,-1,Cannon,,0,0,1,Instant,12.0,30,41,,,,,,,,,,TINKERER,ENGINEER,,,,,0,,1000094853,Shoots an explosive cannonball.\n#yDamage: 129%,Shoots an explosive cannonball.\n#yDamage: {5}%,129,2,1416,None
1000075693,7305,0.0,Mechanic Cannon,ENGINEER,,7,100.0,16,-1,Cannon,,0,0,1,Instant,12.0,30,44,,,,,,,,,,TINKERER,ENGINEER,,,,,0,,1000094853,Shoots an explosive cannonball.\n#yDamage: 131%,Shoots an explosive cannonball.\n#yDamage: {5}%,131,2,1416,None
1000075693,7305,0.0,Mechanic Cannon,ENGINEER,,8,100.0,16,-1,Cannon,,0,0,1,Instant,12.0,30,47,,,,,,,,,,TINKERER,ENGINEER,,,,,0,,1000094853,Shoots an explosive cannonball.\n#yDamage: 133%,Shoots an explosive cannonball.\n#yDamage: {5}%,133,2,1416,None
1000075693,7305,0.0,Mechanic Cannon,ENGINEER,,9,100.0,16,-1,Cannon,,0,0,1,Instant,12.0,30,50,,,,,,,,,,TINKERER,ENGINEER,,,,,0,,1000094853,Shoots an explosive cannonball.\n#yDamage: 135%,Shoots an explosive cannonball.\n#yDamage: {5}%,135,2,1416,None
1000075693,7305,0.0,Mechanic Cannon,ENGINEER,,10,100.0,16,-1,Cannon,,0,0,1,Instant,12.0,30,53,,,,,,,,,,TINKERER,ENGINEER,,,,,0,,1000094853,Shoots an explosive cannonball.\n#yDamage: 137%,Shoots an explosive cannonball.\n#yDamage: {5}%,137,2,1416,None
1000075693,7305,0.0,Mechanic Cannon,ENGINEER,,11,100.0,16,-1,Cannon,,0,0,1,Instant,12.0,30,56,,,,,,,,,,TINKERER,ENGINEER,,,,,0,,1000094853,Shoots an explosive cannonball.\n#yDamage: 147%,Shoots an explosive cannonball.\n#yDamage: {5}%,147,2,1416,None
1000075693,7305,0.0,Mechanic Cannon,ENGINEER,,12,100.0,16,-1,Cannon,,0,0,1,Instant,12.0,30,59,,,,,,,,,,TINKERER,ENGINEER,,,,,0,,1000094853,Shoots an explosive cannonball.\n#yDamage: 149%,Shoots an explosive cannonball.\n#yDamage: {5}%,149,2,1416,None
1000075693,7305,0.0,Mechanic Cannon,ENGINEER,,13,100.0,16,-1,Cannon,,0,0,1,Instant,12.0,30,62,,,,,,,,,,TINKERER,ENGINEER,,,,,0,,1000094853,Shoots an explosive cannonball.\n#yDamage: 152%,Shoots an explosive cannonball.\n#yDamage: {5}%,152,2,1416,None
1000075693,7305,0.0,Mechanic Cannon,ENGINEER,,14,100.0,16,-1,Cannon,,0,0,1,Instant,12.0,30,65,,,,,,,,,,TINKERER,ENGINEER,,,,,0,,1000094853,Shoots an explosive cannonball.\n#yDamage: 154%,Shoots an explosive cannonball.\n#yDamage: {5}%,154,2,1416,None
1000075693,7305,0.0,Mechanic Cannon,ENGINEER,,15,100.0,16,-1,Cannon,,0,0,1,Instant,12.0,30,68,,,,,,,,,,TINKERER,ENGINEER,,,,,0,,1000094853,Shoots an explosive cannonball.\n#yDamage: 157%,Shoots an explosive cannonball.\n#yDamage: {5}%,157,2,1416,None
1000075693,7305,0.0,Mechanic Cannon,ENGINEER,,16,100.0,16,-1,Cannon,,0,0,1,Instant,12.0,30,71,,,,,,,,,,TINKERER,ENGINEER,,,,,0,,1000094853,Shoots an explosive cannonball.\n#yDamage: 171%,Shoots an explosive cannonball.\n#yDamage: {5}%,171,2,1416,None
1000075693,7305,0.0,Mechanic Cannon,ENGINEER,,17,100.0,16,-1,Cannon,,0,0,1,Instant,12.0,30,74,,,,,,,,,,TINKERER,ENGINEER,,,,,0,,1000094853,Shoots an explosive cannonball.\n#yDamage: 175%,Shoots an explosive cannonball.\n#yDamage: {5}%,175,2,1416,None
1000075694,7306,0.0,Mechanic Ice Pump,ENGINEER,,1,205.1,16,-1,Cannon,,0,2,1,Debuff,18.0,30,30,,,,,,,,,,TINKERER,ENGINEER,,,,,0,,1000094854,Step on the ice pump's bullets to burst them and deal Ice Damage to nearby enemies.\n#yDamage: 144%\nDuration: 4 sec,Step on the ice pump's bullets to burst them and deal Ice Damage to nearby enemies.\n#yDamage: {5}%\nDuration: {6} sec,144FUCK4,2,1417,Water
1000075694,7306,0.0,Mechanic Ice Pump,ENGINEER,,2,205.1,16,-1,Cannon,,0,2,1,Debuff,18.0,30,35,,,,,,,,,,TINKERER,ENGINEER,,,,,0,,1000094854,Step on the ice pump's bullets to burst them and deal Ice Damage to nearby enemies.\n#yDamage: 148%\nDuration: 4 sec,Step on the ice pump's bullets to burst them and deal Ice Damage to nearby enemies.\n#yDamage: {5}%\nDuration: {6} sec,148FUCK4,2,1417,Water
1000075694,7306,0.0,Mechanic Ice Pump,ENGINEER,,3,205.1,16,-1,Cannon,,0,2,1,Debuff,18.0,30,40,,,,,,,,,,TINKERER,ENGINEER,,,,,0,,1000094854,Step on the ice pump's bullets to burst them and deal Ice Damage to nearby enemies.\n#yDamage: 151%\nDuration: 4 sec,Step on the ice pump's bullets to burst them and deal Ice Damage to nearby enemies.\n#yDamage: {5}%\nDuration: {6} sec,151FUCK4,2,1417,Water
1000075694,7306,0.0,Mechanic Ice Pump,ENGINEER,,4,205.1,16,-1,Cannon,,0,2,1,Debuff,18.0,30,45,,,,,,,,,,TINKERER,ENGINEER,,,,,0,,1000094854,Step on the ice pump's bullets to burst them and deal Ice Damage to nearby enemies.\n#yDamage: 155%\nDuration: 4 sec,Step on the ice pump's bullets to burst them and deal Ice Damage to nearby enemies.\n#yDamage: {5}%\nDuration: {6} sec,155FUCK4,2,1417,Water
1000075694,7306,0.0,Mechanic Ice Pump,ENGINEER,,5,205.1,16,-1,Cannon,,0,2,1,Debuff,18.0,30,50,,,,,,,,,,TINKERER,ENGINEER,,,,,0,,1000094854,Step on the ice pump's bullets to burst them and deal Ice Damage to nearby enemies.\n#yDamage: 159%\nDuration: 4 sec,Step on the ice pump's bullets to burst them and deal Ice Damage to nearby enemies.\n#yDamage: {5}%\nDuration: {6} sec,159FUCK4,2,1417,Water
1000075694,7306,0.0,Mechanic Ice Pump,ENGINEER,,6,205.1,16,-1,Cannon,,0,2,1,Debuff,18.0,30,55,,,,,,,,,,TINKERER,ENGINEER,,,,,0,,1000094854,Step on the ice pump's bullets to burst them and deal Ice Damage to nearby enemies.\n#yDamage: 173%\nDuration: 4 sec,Step on the ice pump's bullets to burst them and deal Ice Damage to nearby enemies.\n#yDamage: {5}%\nDuration: {6} sec,173FUCK4,2,1417,Water
1000075694,7306,0.0,Mechanic Ice Pump,ENGINEER,,7,205.1,16,-1,Cannon,,0,2,1,Debuff,18.0,30,60,,,,,,,,,,TINKERER,ENGINEER,,,,,0,,1000094854,Step on the ice pump's bullets to burst them and deal Ice Damage to nearby enemies.\n#yDamage: 177%\nDuration: 4 sec,Step on the ice pump's bullets to burst them and deal Ice Damage to nearby enemies.\n#yDamage: {5}%\nDuration: {6} sec,177FUCK4,2,1417,Water
1000075694,7306,0.0,Mechanic Ice Pump,ENGINEER,,8,205.1,16,-1,Cannon,,0,2,1,Debuff,18.0,30,65,,,,,,,,,,TINKERER,ENGINEER,,,,,0,,1000094854,Step on the ice pump's bullets to burst them and deal Ice Damage to nearby enemies.\n#yDamage: 181%\nDuration: 4 sec,Step on the ice pump's bullets to burst them and deal Ice Damage to nearby enemies.\n#yDamage: {5}%\nDuration: {6} sec,181FUCK4,2,1417,Water
1000075694,7306,0.0,Mechanic Ice Pump,ENGINEER,,9,205.1,16,-1,Cannon,,0,2,1,Debuff,18.0,30,70,,,,,,,,,,TINKERER,ENGINEER,,,,,0,,1000094854,Step on the ice pump's bullets to burst them and deal Ice Damage to nearby enemies.\n#yDamage: 185%\nDuration: 4 sec,Step on the ice pump's bullets to burst them and deal Ice Damage to nearby enemies.\n#yDamage: {5}%\nDuration: {6} sec,185FUCK4,2,1417,Water
