MID,SkillIndex,StartSuperArmor,SkillName,SkillNeedClass,SkillTreeSlotIndex,SkillLevel,FeeMP,RequireWeapon1,RequireWeapon2,weapon 1,weapon 2,SkillType,DurationType,TargetType,SkillTypeInfo,SkillCooldown,SkillMaxLevel,RequireCharLevel,RequiredSkill_1,RequiredSkill_1_name,RequiredSkill_1_lvl,RequiredSkill_2,RequiredSkill_2_name,RequiredSkill_2_lvl,RequiredSkill_3,RequiredSkill_3_name,RequiredSkill_3_lvl,class0,class1,class2,RequireClass0SP,RequireClass1SP,RequireClass2SP,RequireSP,ChangeSkillIndex,SkillExplanationID,SkillExplanationAll,SkillExplanation,SkillExplanationPara,SPMaxLevel,IconImageIndex,Element
1000091100,7741,1.0,Passive Aerial Parry,PATRONA,,1,0.0,-1,-1,,,0,1,4,Buff,0.0,7,15,,,,,,,,,,MACHINA,PATRONA,,,,,3,,1000086085,#v(Enhanced)\n#wAble to cast the skill very quickly.\n\n#ySkill Damage: +200%,#v(Enhanced)\n#wAble to cast the skill very quickly.\n\n#ySkill Damage: +{5}%,200,0,2421,None
1000091100,7741,1.0,Passive Aerial Parry,PATRONA,,2,0.0,-1,-1,,,0,1,4,Buff,0.0,7,25,,,,,,,,,,MACHINA,PATRONA,,,,,1,,1000086085,#v(Enhanced)\n#wAble to cast the skill very quickly.\n\n#ySkill Damage: +200%,#v(Enhanced)\n#wAble to cast the skill very quickly.\n\n#ySkill Damage: +{5}%,200,0,2421,None
1000091100,7741,1.0,Passive Aerial Parry,PATRONA,,3,0.0,-1,-1,,,0,1,4,Buff,0.0,7,35,,,,,,,,,,MACHINA,PATRONA,,,,,1,,1000086085,#v(Enhanced)\n#wAble to cast the skill very quickly.\n\n#ySkill Damage: +200%,#v(Enhanced)\n#wAble to cast the skill very quickly.\n\n#ySkill Damage: +{5}%,200,0,2421,None
1000091100,7741,1.0,Passive Aerial Parry,PATRONA,,4,0.0,-1,-1,,,0,1,4,Buff,0.0,7,45,,,,,,,,,,MACHINA,PATRONA,,,,,1,,1000086085,#v(Enhanced)\n#wAble to cast the skill very quickly.\n\n#ySkill Damage: +200%,#v(Enhanced)\n#wAble to cast the skill very quickly.\n\n#ySkill Damage: +{5}%,200,0,2421,None
1000091100,7741,1.0,Passive Aerial Parry,PATRONA,,5,0.0,-1,-1,,,0,1,4,Buff,0.0,7,55,,,,,,,,,,MACHINA,PATRONA,,,,,1,,1000086085,#v(Enhanced)\n#wAble to cast the skill very quickly.\n\n#ySkill Damage: +200%,#v(Enhanced)\n#wAble to cast the skill very quickly.\n\n#ySkill Damage: +{5}%,200,0,2421,None
1000091100,7741,1.0,Passive Aerial Parry,PATRONA,,6,0.0,-1,-1,,,0,1,4,Buff,0.0,7,65,,,,,,,,,,MACHINA,PATRONA,,,,,1,,1000086085,#v(Enhanced)\n#wAble to cast the skill very quickly.\n\n#ySkill Damage: +200%,#v(Enhanced)\n#wAble to cast the skill very quickly.\n\n#ySkill Damage: +{5}%,200,0,2421,None
1000091100,7741,1.0,Passive Aerial Parry,PATRONA,,7,0.0,-1,-1,,,0,1,4,Buff,0.0,7,75,,,,,,,,,,MACHINA,PATRONA,,,,,1,,1000086085,#v(Enhanced)\n#wAble to cast the skill very quickly.\n\n#ySkill Damage: +200%,#v(Enhanced)\n#wAble to cast the skill very quickly.\n\n#ySkill Damage: +{5}%,200,0,2421,None
1000093898,7770,0.0,Taunting Blow + Instance,DEFENSIO,,1,0.0,-1,-1,,,0,2,4,Debuff,0.0,13,50,,,,,,,,,,MACHINA,PATRONA,DEFENSIO,,,,0,,1000093902,Taunt effect of #yTaunting Blow#w has ben further enhanced.,Taunt effect of #yTaunting Blow#w has ben further enhanced.,,2,2447,None
1000093898,7770,0.0,Taunting Blow + Instance,DEFENSIO,,2,0.0,-1,-1,,,0,2,4,Debuff,0.0,13,53,,,,,,,,,,MACHINA,PATRONA,DEFENSIO,,,,0,,1000093902,Taunt effect of #yTaunting Blow#w has ben further enhanced.,Taunt effect of #yTaunting Blow#w has ben further enhanced.,,2,2447,None
1000093898,7770,0.0,Taunting Blow + Instance,DEFENSIO,,3,0.0,-1,-1,,,0,2,4,Debuff,0.0,13,56,,,,,,,,,,MACHINA,PATRONA,DEFENSIO,,,,0,,1000093902,Taunt effect of #yTaunting Blow#w has ben further enhanced.,Taunt effect of #yTaunting Blow#w has ben further enhanced.,,2,2447,None
1000093898,7770,0.0,Taunting Blow + Instance,DEFENSIO,,4,0.0,-1,-1,,,0,2,4,Debuff,0.0,13,59,,,,,,,,,,MACHINA,PATRONA,DEFENSIO,,,,0,,1000093902,Taunt effect of #yTaunting Blow#w has ben further enhanced.,Taunt effect of #yTaunting Blow#w has ben further enhanced.,,2,2447,None
1000093898,7770,0.0,Taunting Blow + Instance,DEFENSIO,,5,0.0,-1,-1,,,0,2,4,Debuff,0.0,13,62,,,,,,,,,,MACHINA,PATRONA,DEFENSIO,,,,0,,1000093902,Taunt effect of #yTaunting Blow#w has ben further enhanced.,Taunt effect of #yTaunting Blow#w has ben further enhanced.,,2,2447,None
1000093898,7770,0.0,Taunting Blow + Instance,DEFENSIO,,6,0.0,-1,-1,,,0,2,4,Debuff,0.0,13,65,,,,,,,,,,MACHINA,PATRONA,DEFENSIO,,,,0,,1000093902,Taunt effect of #yTaunting Blow#w has ben further enhanced.,Taunt effect of #yTaunting Blow#w has ben further enhanced.,,2,2447,None
1000093898,7770,0.0,Taunting Blow + Instance,DEFENSIO,,7,0.0,-1,-1,,,0,2,4,Debuff,0.0,13,68,,,,,,,,,,MACHINA,PATRONA,DEFENSIO,,,,0,,1000093902,Taunt effect of #yTaunting Blow#w has ben further enhanced.,Taunt effect of #yTaunting Blow#w has ben further enhanced.,,2,2447,None
1000093898,7770,0.0,Taunting Blow + Instance,DEFENSIO,,8,0.0,-1,-1,,,0,2,4,Debuff,0.0,13,71,,,,,,,,,,MACHINA,PATRONA,DEFENSIO,,,,0,,1000093902,Taunt effect of #yTaunting Blow#w has ben further enhanced.,Taunt effect of #yTaunting Blow#w has ben further enhanced.,,2,2447,None
1000093898,7770,0.0,Taunting Blow + Instance,DEFENSIO,,9,0.0,-1,-1,,,0,2,4,Debuff,0.0,13,74,,,,,,,,,,MACHINA,PATRONA,DEFENSIO,,,,0,,1000093902,Taunt effect of #yTaunting Blow#w has ben further enhanced.,Taunt effect of #yTaunting Blow#w has ben further enhanced.,,2,2447,None
1000093898,7770,0.0,Taunting Blow + Instance,DEFENSIO,,10,0.0,-1,-1,,,0,2,4,Debuff,0.0,13,77,,,,,,,,,,MACHINA,PATRONA,DEFENSIO,,,,0,,1000093902,Taunt effect of #yTaunting Blow#w has ben further enhanced.,Taunt effect of #yTaunting Blow#w has ben further enhanced.,,2,2447,None
