MID,SkillIndex,StartSuperArmor,SkillName,SkillNeedClass,SkillTreeSlotIndex,SkillLevel,FeeMP,RequireWeapon1,RequireWeapon2,weapon 1,weapon 2,SkillType,DurationType,TargetType,SkillTypeInfo,SkillCooldown,SkillMaxLevel,RequireCharLevel,RequiredSkill_1,RequiredSkill_1_name,RequiredSkill_1_lvl,RequiredSkill_2,RequiredSkill_2_name,RequiredSkill_2_lvl,RequiredSkill_3,RequiredSkill_3_name,RequiredSkill_3_lvl,class0,class1,class2,RequireClass0SP,RequireClass1SP,RequireClass2SP,RequireSP,ChangeSkillIndex,SkillExplanationID,SkillExplanationAll,SkillExplanation,SkillExplanationPara,SPMaxLevel,IconImageIndex,Element
1000093393,310,6.0,Frenzied Charge EX Instant,SWORDSMAN,,1,0.0,0,-1,Greatsword,,0,0,1,Instant,27.0,15,32,,,,,,,,,,WARRIOR,SWORDSMAN,,,,,0,,1000093694,Frenzied Charge can be used quickly.,Frenzied Charge can be used quickly.,,0,43,None
1000093393,310,6.0,Frenzied Charge EX Instant,SWORDSMAN,,2,0.0,0,-1,Greatsword,,0,0,1,Instant,27.0,15,35,,,,,,,,,,WARRIOR,SWORDSMAN,,,,,0,,1000093694,Frenzied Charge can be used quickly.,Frenzied Charge can be used quickly.,,0,43,None
1000093393,310,6.0,Frenzied Charge EX Instant,SWORDSMAN,,3,0.0,0,-1,Greatsword,,0,0,1,Instant,27.0,15,38,,,,,,,,,,WARRIOR,SWORDSMAN,,,,,0,,1000093694,Frenzied Charge can be used quickly.,Frenzied Charge can be used quickly.,,0,43,None
1000093393,310,6.0,Frenzied Charge EX Instant,SWORDSMAN,,4,0.0,0,-1,Greatsword,,0,0,1,Instant,27.0,15,41,,,,,,,,,,WARRIOR,SWORDSMAN,,,,,0,,1000093694,Frenzied Charge can be used quickly.,Frenzied Charge can be used quickly.,,0,43,None
1000093393,310,6.0,Frenzied Charge EX Instant,SWORDSMAN,,5,0.0,0,-1,Greatsword,,0,0,1,Instant,27.0,15,44,,,,,,,,,,WARRIOR,SWORDSMAN,,,,,0,,1000093694,Frenzied Charge can be used quickly.,Frenzied Charge can be used quickly.,,0,43,None
1000093393,310,6.0,Frenzied Charge EX Instant,SWORDSMAN,,6,0.0,0,-1,Greatsword,,0,0,1,Instant,27.0,15,47,,,,,,,,,,WARRIOR,SWORDSMAN,,,,,0,,1000093694,Frenzied Charge can be used quickly.,Frenzied Charge can be used quickly.,,0,43,None
1000093393,310,6.0,Frenzied Charge EX Instant,SWORDSMAN,,7,0.0,0,-1,Greatsword,,0,0,1,Instant,27.0,15,50,,,,,,,,,,WARRIOR,SWORDSMAN,,,,,0,,1000093694,Frenzied Charge can be used quickly.,Frenzied Charge can be used quickly.,,0,43,None
1000093393,310,6.0,Frenzied Charge EX Instant,SWORDSMAN,,8,0.0,0,-1,Greatsword,,0,0,1,Instant,27.0,15,53,,,,,,,,,,WARRIOR,SWORDSMAN,,,,,0,,1000093694,Frenzied Charge can be used quickly.,Frenzied Charge can be used quickly.,,0,43,None
1000093393,310,6.0,Frenzied Charge EX Instant,SWORDSMAN,,9,0.0,0,-1,Greatsword,,0,0,1,Instant,27.0,15,56,,,,,,,,,,WARRIOR,SWORDSMAN,,,,,0,,1000093694,Frenzied Charge can be used quickly.,Frenzied Charge can be used quickly.,,0,43,None
1000093393,310,6.0,Frenzied Charge EX Instant,SWORDSMAN,,10,0.0,0,-1,Greatsword,,0,0,1,Instant,27.0,15,59,,,,,,,,,,WARRIOR,SWORDSMAN,,,,,0,,1000093694,Frenzied Charge can be used quickly.,Frenzied Charge can be used quickly.,,0,43,None
1000093393,310,6.0,Frenzied Charge EX Instant,SWORDSMAN,,11,0.0,0,-1,Greatsword,,0,0,1,Instant,27.0,15,62,,,,,,,,,,WARRIOR,SWORDSMAN,,,,,0,,1000093694,Frenzied Charge can be used quickly.,Frenzied Charge can be used quickly.,,0,43,None
1000093393,310,6.0,Frenzied Charge EX Instant,SWORDSMAN,,12,0.0,0,-1,Greatsword,,0,0,1,Instant,27.0,15,65,,,,,,,,,,WARRIOR,SWORDSMAN,,,,,0,,1000093694,Frenzied Charge can be used quickly.,Frenzied Charge can be used quickly.,,0,43,None
1000093393,310,6.0,Frenzied Charge EX Instant,SWORDSMAN,,13,0.0,0,-1,Greatsword,,0,0,1,Instant,27.0,15,68,,,,,,,,,,WARRIOR,SWORDSMAN,,,,,0,,1000093694,Frenzied Charge can be used quickly.,Frenzied Charge can be used quickly.,,0,43,None
1000093393,310,6.0,Frenzied Charge EX Instant,SWORDSMAN,,14,0.0,0,-1,Greatsword,,0,0,1,Instant,27.0,15,71,,,,,,,,,,WARRIOR,SWORDSMAN,,,,,0,,1000093694,Frenzied Charge can be used quickly.,Frenzied Charge can be used quickly.,,0,43,None
1000093393,310,6.0,Frenzied Charge EX Instant,SWORDSMAN,,15,0.0,0,-1,Greatsword,,0,0,1,Instant,27.0,15,74,,,,,,,,,,WARRIOR,SWORDSMAN,,,,,0,,1000093694,Frenzied Charge can be used quickly.,Frenzied Charge can be used quickly.,,0,43,None
1000096216,360,0.0,플래쉬 스탠스 인스턴트,LUNARKNIGHT,,1,0.0,-1,-1,,,0,8,1,Buff,1.5,13,50,,,,,,,,,,WARRIOR,SWORDSMAN,LUNARKNIGHT,,,,0,,1000096218,빠르게 사용가능한 플래쉬 스탠스입니다.,빠르게 사용가능한 플래쉬 스탠스입니다.,,0,79,None
1000096216,360,0.0,플래쉬 스탠스 인스턴트,LUNARKNIGHT,,2,0.0,-1,-1,,,0,8,1,Buff,1.5,13,53,,,,,,,,,,WARRIOR,SWORDSMAN,LUNARKNIGHT,,,,0,,1000096218,빠르게 사용가능한 플래쉬 스탠스입니다.,빠르게 사용가능한 플래쉬 스탠스입니다.,,0,79,None
1000096216,360,0.0,플래쉬 스탠스 인스턴트,LUNARKNIGHT,,3,0.0,-1,-1,,,0,8,1,Buff,1.5,13,56,,,,,,,,,,WARRIOR,SWORDSMAN,LUNARKNIGHT,,,,0,,1000096218,빠르게 사용가능한 플래쉬 스탠스입니다.,빠르게 사용가능한 플래쉬 스탠스입니다.,,0,79,None
1000096216,360,0.0,플래쉬 스탠스 인스턴트,LUNARKNIGHT,,4,0.0,-1,-1,,,0,8,1,Buff,1.5,13,59,,,,,,,,,,WARRIOR,SWORDSMAN,LUNARKNIGHT,,,,0,,1000096218,빠르게 사용가능한 플래쉬 스탠스입니다.,빠르게 사용가능한 플래쉬 스탠스입니다.,,0,79,None
1000096216,360,0.0,플래쉬 스탠스 인스턴트,LUNARKNIGHT,,5,0.0,-1,-1,,,0,8,1,Buff,1.5,13,62,,,,,,,,,,WARRIOR,SWORDSMAN,LUNARKNIGHT,,,,0,,1000096218,빠르게 사용가능한 플래쉬 스탠스입니다.,빠르게 사용가능한 플래쉬 스탠스입니다.,,0,79,None
1000096216,360,0.0,플래쉬 스탠스 인스턴트,LUNARKNIGHT,,6,0.0,-1,-1,,,0,8,1,Buff,1.5,13,65,,,,,,,,,,WARRIOR,SWORDSMAN,LUNARKNIGHT,,,,0,,1000096218,빠르게 사용가능한 플래쉬 스탠스입니다.,빠르게 사용가능한 플래쉬 스탠스입니다.,,0,79,None
1000096216,360,0.0,플래쉬 스탠스 인스턴트,LUNARKNIGHT,,7,0.0,-1,-1,,,0,8,1,Buff,1.5,13,68,,,,,,,,,,WARRIOR,SWORDSMAN,LUNARKNIGHT,,,,0,,1000096218,빠르게 사용가능한 플래쉬 스탠스입니다.,빠르게 사용가능한 플래쉬 스탠스입니다.,,0,79,None
1000096216,360,0.0,플래쉬 스탠스 인스턴트,LUNARKNIGHT,,8,0.0,-1,-1,,,0,8,1,Buff,1.5,13,71,,,,,,,,,,WARRIOR,SWORDSMAN,LUNARKNIGHT,,,,0,,1000096218,빠르게 사용가능한 플래쉬 스탠스입니다.,빠르게 사용가능한 플래쉬 스탠스입니다.,,0,79,None
